action;tote_batch_id;timestamp;location
new-batch;batch-0;2022-11-08 06:00:51.696000;buffer
add-to-batch_0;504;2022-11-08 06:00:51.696000;buffer
add-to-batch_0;431;2022-11-08 06:01:04.467000;buffer
add-to-batch_0;514;2022-11-08 06:01:25.485000;buffer
add-to-batch_0;687;2022-11-08 06:01:59.142000;buffer
add-to-batch_0;238;2022-11-08 06:02:27.051000;buffer
add-to-batch_0;679;2022-11-08 06:03:47.167000;buffer
add-to-batch_0;279;2022-11-08 06:03:47.417000;buffer
add-to-batch_0;959;2022-11-08 06:04:25.790000;buffer
add-to-batch_0;752;2022-11-08 06:05:56.610000;buffer
add-to-batch_0;649;2022-11-08 06:06:12.733000;buffer
add-to-batch_0;874;2022-11-08 06:07:07.324000;buffer
add-to-batch_0;510;2022-11-08 06:07:11.180000;buffer
batch-full;batch-0;2022-11-08 06:07:11.180000;buffer
batch-release;batch-0;2022-11-08 06:07:11.180000;buffer
batch-pick-start;batch-0;2022-11-08 06:07:11.180000;buffer
new-batch;batch-1;2022-11-08 06:07:15.777000;buffer
add-to-batch_1;307;2022-11-08 06:07:15.777000;buffer
add-to-batch_1;366;2022-11-08 06:08:31.772000;buffer
add-to-batch_1;758;2022-11-08 06:08:42.392000;buffer
add-to-batch_1;435;2022-11-08 06:08:42.594000;buffer
add-to-batch_1;9;2022-11-08 06:08:58.320000;buffer
add-to-batch_1;169;2022-11-08 06:09:09.497000;buffer
add-to-batch_1;251;2022-11-08 06:09:17.913000;buffer
add-to-batch_1;37;2022-11-08 06:10:41.992000;buffer
add-to-batch_1;867;2022-11-08 06:11:04.810000;buffer
add-to-batch_1;252;2022-11-08 06:11:27.847000;buffer
add-to-batch_1;227;2022-11-08 06:11:37.022000;buffer
add-to-batch_1;954;2022-11-08 06:11:39.005000;buffer
batch-full;batch-1;2022-11-08 06:11:39.005000;buffer
batch-release;batch-1;2022-11-08 06:11:39.005000;buffer
batch-pick-start;batch-1;2022-11-08 06:11:39.005000;buffer
new-batch;batch-2;2022-11-08 06:11:50.630000;buffer
add-to-batch_2;935;2022-11-08 06:11:50.630000;buffer
add-to-batch_2;994;2022-11-08 06:11:53.462000;buffer
add-to-batch_2;364;2022-11-08 06:12:02.962000;buffer
add-to-batch_2;324;2022-11-08 06:12:06.914000;buffer
add-to-batch_2;902;2022-11-08 06:12:10.003000;buffer
add-to-batch_2;226;2022-11-08 06:12:21.029000;buffer
add-to-batch_2;469;2022-11-08 06:12:35.065000;buffer
add-to-batch_2;563;2022-11-08 06:12:44.705000;buffer
add-to-batch_2;273;2022-11-08 06:14:09.129000;buffer
add-to-batch_2;845;2022-11-08 06:14:27.156000;buffer
add-to-batch_2;436;2022-11-08 06:15:29.810000;buffer
add-to-batch_2;573;2022-11-08 06:16:18.554000;buffer
batch-full;batch-2;2022-11-08 06:16:18.554000;buffer
batch-release;batch-2;2022-11-08 06:16:18.554000;buffer
batch-pick-start;batch-2;2022-11-08 06:16:18.554000;buffer
new-batch;batch-3;2022-11-08 06:16:31.180000;buffer
add-to-batch_3;134;2022-11-08 06:16:31.180000;buffer
batch-pick-end;batch-1;2022-11-08 06:17:04.512000;buffer
batch-consolidate-start;batch-1;2022-11-08 06:17:04.512000;consolidation
